examples,ManimCELogo,0.044
examples,BraceAnnotation,0.080
examples,VectorArrow,0.045
examples,GradientImageFromArray,0.032
examples,BooleanOperations,0.737
examples,PointMovingOnShapes,0.053
examples,MovingAround,0.045
examples,MovingAngle,0.081
examples,MovingDots,0.044
examples,MovingGroupToDestination,0.046
examples,MovingFrameBox,0.350
examples,RotationUpdater,0.040
examples,PointWithTrace,0.048
examples,SinAndCosFunctionPlot,0.152
examples,ArgMinExample,0.094
examples,GraphAreaPlot,0.077
examples,PolygonOnAxes,0.125
examples,HeatDiagramPlot,0.073
examples,FollowingGraphCamera,0.103
examples,MovingZoomedSceneAround,0.732
examples,FixedInFrameMObjectTest,0.215
examples,ThreeDLightSourcePosition,0.547
examples,ThreeDCameraRotation,0.927
examples,ThreeDCameraIllusionRotation,0.365
examples,ThreeDSurfacePlot,1.540
examples,OpeningManim,1.329
examples,SineCurveUnitCircle,0.095
animation.animation,OverrideAnimationExample,0.033
animation.animation.Animation,LagRatios,0.197
animation.changing.AnimatedBoundary,AnimatedBoundaryExample,0.078
animation.changing.TracedPath,TracedPathExample,0.390
animation.changing.TracedPath,DissipatingPathExample,0.145
animation.creation,CreationModule,0.789
animation.creation.Create,CreateScene,0.033
animation.creation.DrawBorderThenFill,ShowDrawBorderThenFill,0.041
animation.creation.ShowIncreasingSubsets,ShowIncreasingSubsetsScene,0.038
animation.creation.Uncreate,ShowUncreate,0.033
animation.creation.Unwrite,UnwriteReverseTrue,0.089
animation.creation.Unwrite,UnwriteReverseFalse,0.090
animation.creation.Write,ShowWrite,0.058
animation.creation.Write,ShowWriteReversed,0.056
animation.fading,Fading,0.118
animation.fading.FadeIn,FadeInExample,0.175
animation.fading.FadeOut,FadeInExample,0.182
animation.growing,Growing,0.056
animation.growing.GrowArrow,GrowArrowExample,0.042
animation.growing.GrowFromCenter,GrowFromCenterExample,0.038
animation.growing.GrowFromEdge,GrowFromEdgeExample,0.046
animation.growing.GrowFromPoint,GrowFromPointExample,0.049
animation.growing.SpinInFromNothing,SpinInFromNothingExample,0.042
animation.indication,Indications,0.575
animation.indication.ApplyWave,ApplyingWaves,0.266
animation.indication.Circumscribe,UsingCircumscribe,0.155
animation.indication.Flash,UsingFlash,0.123
animation.indication.Flash,FlashOnCircle,0.054
animation.indication.FocusOn,UsingFocusOn,0.133
animation.indication.Indicate,UsingIndicate,0.077
animation.indication.ShowPassingFlash,TimeWidthValues,0.377
animation.indication.Wiggle,ApplyingWaves,0.081
animation.movement.MoveAlongPath,MoveAlongPathExample,0.039
animation.rotation.Rotate,UsingRotate,0.039
animation.specialized.Broadcast,BroadcastExample,0.042
animation.transform.ApplyMatrix,ApplyMatrixExample,0.092
animation.transform.ApplyPointwiseFunction,WarpSquare,0.038
animation.transform.ClockwiseTransform,ClockwiseExample,0.045
animation.transform.CounterclockwiseTransform,CounterclockwiseTransform_vs_Transform,0.294
animation.transform.FadeToColor,FadeToColorExample,0.073
animation.transform.FadeTransform,DifferentFadeTransforms,0.053
animation.transform.FadeTransformPieces,FadeTransformSubmobjects,0.057
animation.transform.MoveToTarget,MoveToTargetExample,0.035
animation.transform.ReplacementTransform,ReplacementTransformOrTransform,0.404
animation.transform.Restore,RestoreExample,0.053
animation.transform.ScaleInPlace,ScaleInPlaceExample,0.075
animation.transform.ShrinkToCenter,ShrinkToCenterExample,0.079
animation.transform_matching_parts.TransformMatchingShapes,Anagram,0.426
animation.transform_matching_parts.TransformMatchingTex,MatchingEquationParts,0.475
mobject.geometry.arc,UsefulAnnotations,0.044
mobject.geometry.arc.AnnularSector,AnnularSectorExample,0.033
mobject.geometry.arc.Annulus,AnnulusExample,0.026
mobject.geometry.arc.Arc,ArcExample,0.022
mobject.geometry.arc.ArcBetweenPoints,ArcBetweenPointsExample,0.069
mobject.geometry.arc.ArcPolygon,SeveralArcPolygons,0.065
mobject.geometry.arc.ArcPolygonFromArcs,ArcPolygonExample,0.049
mobject.geometry.arc.ArcPolygonFromArcs,ArcPolygonExample2,0.064
mobject.geometry.arc.Circle,CircleExample,0.029
mobject.geometry.arc.Circle,CircleFromPointsExample,0.059
mobject.geometry.arc.Circle,PointAtAngleExample,0.032
mobject.geometry.arc.Circle,CircleSurround,0.030
mobject.geometry.arc.CubicBezier,BezierSplineExample,0.046
mobject.geometry.arc.Dot,DotExample,0.021
mobject.geometry.arc.Ellipse,EllipseExample,0.026
mobject.geometry.arc.LabeledDot,SeveralLabeledDots,0.063
mobject.geometry.arc.Sector,ExampleSector,0.026
mobject.geometry.boolean_ops.Difference,DifferenceExample,0.025
mobject.geometry.boolean_ops.Exclusion,IntersectionExample,0.026
mobject.geometry.boolean_ops.Intersection,IntersectionExample,0.025
mobject.geometry.boolean_ops.Union,UnionExample,0.025
mobject.geometry.line.Angle,RightArcAngleExample,0.028
mobject.geometry.line.Angle,AngleExample,0.039
